**** BEGIN LOGGING AT Thu Nov 11 19:30:53 2010

Nov 11 20:24:57 <fcodiaz>	por?
Nov 11 20:24:58 <jotamjr_>	fcodiaz: y el .sql esta en github?
Nov 11 20:25:01 <elsimio>	pq esa bae no esta modular
Nov 11 20:25:09 <elsimio>	esta asi para un sistema ranger
Nov 11 20:25:17 <fcodiaz>	jotamjr_, 
Nov 11 20:25:18 <fcodiaz>	saludos
Nov 11 20:25:23 <fcodiaz>	estamos en reunion abierta
Nov 11 20:25:39 <jotamjr_>	si he estado leyendo :)
Nov 11 20:25:40 <fcodiaz>	elsimio, entonces que crees que debe cambiarse en ese diseno?
Nov 11 20:26:01 <fcodiaz>	jotamjr_, creo que no, cmsamour no me paso eso 
Nov 11 20:26:02 <elsimio>	si y mucho
Nov 11 20:26:04 <fcodiaz>	lo del .sql
Nov 11 20:26:09 <elsimio>	voy a proponer con tiempo una base yo
Nov 11 20:26:39 <fcodiaz>	elsimio, ya esta un diseno ahi, creo que en lugar de proponer otro, seria mejor modificar el que existe y adecuarlo
Nov 11 20:26:51 <fcodiaz>	no veo por que hacer otra vez el trabajo de algo que ya esta casi listo
Nov 11 20:26:57 <elsimio>	bueno si
Nov 11 20:26:59 <fcodiaz>	que opinan los demas?
Nov 11 20:27:00 <elsimio>	modificarlo
Nov 11 20:27:09 <elsimio>	pero igual, ese diseno esta asi como cuadrado
Nov 11 20:27:11 <fcodiaz>	exacto, no esta escrito en piedra
Nov 11 20:27:15 <elsimio>	CxP, CxC, etc
Nov 11 20:27:16 <fcodiaz>	ok
Nov 11 20:27:26 <elsimio>	si queremos en el futuro agregar algo de cotizaciones, etc
Nov 11 20:27:39 <elsimio>	nos tocaria agregar tablas y es lo q no quisiera
Nov 11 20:27:47 <fcodiaz>	elsimio, entonces crees que puedes retomar el que esta y hacerle los cambios que tu sugeririas
Nov 11 20:27:49 <elsimio>	sino q la base q hagamos seria ya para planes a futuro funcionable
Nov 11 20:27:53 <elsimio>	si
Nov 11 20:28:13 <fcodiaz>	hmmm en todo caso, por mucho que le pongamos siempre se nos va a quedar algo fuera
Nov 11 20:28:32 <elsimio>	si claro
Nov 11 20:28:33 <fcodiaz>	y habra que agregarle siempre algo
Nov 11 20:28:40 <fcodiaz>	pero me parece
Nov 11 20:28:44 <elsimio>	por eso la craneada esta en la base
Nov 11 20:28:47 <fcodiaz>	emonge, que opinas
Nov 11 20:28:54 <jotamjr_>	por cierto y en ese diseño la herramienta no muestra las relaciones o estas no existen?
Nov 11 20:29:06 <fcodiaz>	si eso es cierto eso le pregunte a cmsamour que eso no se ve
Nov 11 20:29:38 <fcodiaz>	jotamjr_, si a vos te tocara comenzar a programar en solicont ahora mismo, que lenguaje usarias?
Nov 11 20:29:58 <emonge>	fcodiaz, de acuerdo
Nov 11 20:30:05 <jotamjr_>	fcodiaz: perl
Nov 11 20:30:09 <elsimio>	puta
Nov 11 20:30:11 <elsimio>	cgi?
Nov 11 20:30:15 <fcodiaz>	razon, motivo?
Nov 11 20:30:18 <fcodiaz>	pros, cons?
Nov 11 20:30:25 <jotamjr_>	bueno perl + Catalyst
Nov 11 20:30:34 <jotamjr_>	a puro perl es un suicidio
Nov 11 20:30:38 <fcodiaz>	si
Nov 11 20:30:43 <jotamjr_>	catalyst presenta varias ventajas:
Nov 11 20:30:47 <fcodiaz>	es tanto como hacerlo en C o C++
Nov 11 20:30:52 <elsimio>	si
Nov 11 20:30:52 <fcodiaz>	ok
Nov 11 20:30:56 <jotamjr_>	* todo cpan disponible
Nov 11 20:31:04 <jotamjr_>	* ORM
Nov 11 20:31:15 <jotamjr_>	este permite tener esquemas estaticos o dinamicos
Nov 11 20:31:32 <jotamjr_>	con soporte a muchos SGBD
Nov 11 20:31:53 <jotamjr_>	* PERL MOTTO :)
Nov 11 20:31:58 <fcodiaz>	ya veo
Nov 11 20:32:02 <fcodiaz>	no se nota xD
Nov 11 20:32:14 <jotamjr_>	si
Nov 11 20:32:17 <jotamjr_>	lo malo
Nov 11 20:32:22 <fcodiaz>	aja
Nov 11 20:32:25 <jotamjr_>	* no es tan comun como php o java
Nov 11 20:32:52 <jotamjr_>	aunque creo que ir de php -> perl no es tan complicado
Nov 11 20:33:08 <elsimio>	yo puedo perl en web
Nov 11 20:33:08 <jotamjr_>	ademas el Catalyst tiene un monton de plugins
Nov 11 20:33:10 <elsimio>	pero bueno
Nov 11 20:33:20 <jotamjr_>	* autorización, autenticación, REST, etc, etc
Nov 11 20:33:29 <fcodiaz>	ok, yo habia preparado este documento: https://github.com/fcodiaz/Solicont/blob/master/docs/DocumentoSeleccionLenguajeProgramacion.odt
Nov 11 20:33:46 <fcodiaz>	para que hicieramos nuestra propia investigacion en el lenguaje que deseamos proponer
Nov 11 20:33:48 <jotamjr_>	elsimio: le harías con PERL?
Nov 11 20:33:59 <elsimio>	huevo si, pero otros no
Nov 11 20:34:07 <fcodiaz>	si les parece, por que no respondemos a las preguntas en ese documento para el lenguaje de nuestra preferencia 
Nov 11 20:34:25 <fcodiaz>	y en cuanto tiempo creen que podrian tenerlo listo
Nov 11 20:34:31 <elsimio>	lo bajare
Nov 11 20:34:52 <jotamjr_>	fcodiaz: hay fecha limite?
Nov 11 20:35:10 <fcodiaz>	no, pero cuanto tiempo crees que podrias tenerlo listo?
Nov 11 20:35:15 <jotamjr_>	yo ya había visto el doc, pero pienso que no muchos se quieran tirar por el lado de perl.
Nov 11 20:35:18 <elsimio>	tratemos para la otra semana
Nov 11 20:35:31 <fcodiaz>	una semana entonces
Nov 11 20:35:49 <elsimio>	si
Nov 11 20:35:50 <fcodiaz>	yo croe que es suficiente para completar las preguntas y presentar una propuesta para X o Y lenguaje
Nov 11 20:36:02 <fcodiaz>	jotamjr_ que opinas?
Nov 11 20:36:13 <fcodiaz>	asi vemos los pros y cons de cada lengueje
Nov 11 20:36:24 *	smartinez (~smartinez@200.85.30.202) has joined #solicont
Nov 11 20:36:27 <jotamjr_>	una semana a partir de ahora verdad?
Nov 11 20:36:29 <fcodiaz>	ponemos los resultados en una tabla y luego seleccionamos
Nov 11 20:36:32 <fcodiaz>	si
Nov 11 20:36:37 <jotamjr_>	si esta bien.
Nov 11 20:36:59 *	fcodiaz ve que emonge esta viendo los premios grammys
Nov 11 20:37:10 <fcodiaz>	entonces so far, tenemos
Nov 11 20:37:31 <fcodiaz>	elsimio, va a trabajar en un diseno del core del sistema, ademas de presentar el documento de seleccion para PHP
Nov 11 20:37:40 <fcodiaz>	elsimio, verdad?
Nov 11 20:37:55 <fcodiaz>	jotamjr_, trabajara en el documento para Perl+catalyst
Nov 11 20:38:01 <elsimio>	si
Nov 11 20:38:16 <jotamjr_>	sep!
Nov 11 20:38:18 <fcodiaz>	yo puedo hacer una presentacion para Python y si tengo tiempo puedo hacer otra para Ruby, por si les interesa
Nov 11 20:38:35 <jotamjr_>	fcodiaz: RoR?
Nov 11 20:38:36 <fcodiaz>	ademas voy a comenzar con pantallas para el prototipo
Nov 11 20:38:45 <fcodiaz>	exacto, ruby es RoR
Nov 11 20:38:52 <jotamjr_>	fcodiaz: también suena bien
Nov 11 20:38:55 <fcodiaz>	python puede ser Django
Nov 11 20:39:27 <fcodiaz>	emonge, vos no tenes tarea asignada
Nov 11 20:39:47 <fcodiaz>	manana le paso el dato a tadeo que el responda al documento para Java
Nov 11 20:40:07 <fcodiaz>	emonge?
Nov 11 20:40:22 <emonge>	fcodiaz, creo que no
Nov 11 20:41:33 <jotamjr_>	y con el esquema de la DB se modificara el existente o se creara una desde cero que sea congruente con el doc?
Nov 11 20:41:35 <fcodiaz>	emonge, puedes hacer tu una presentacion sobre los pros y cons de las diferentes DB
Nov 11 20:42:09 <fcodiaz>	bueno, elsimio va a modificarlo un poco
Nov 11 20:42:15 <emonge>	fcodiaz, ok
Nov 11 20:42:17 <fcodiaz>	por que uno no tiene las relaciones entre tablas
Nov 11 20:42:39 <emonge>	quien me dara esa info?
Nov 11 20:42:45 <emonge>	a mas tardar, cuando?
Nov 11 20:43:02 <jotamjr_>	creo que nos sería de utilidad tener el .sql también
Nov 11 20:43:07 <fcodiaz>	emonge, puedes tu trabajar en una tabla que describa las diferentes RDBMS?
Nov 11 20:43:11 <fcodiaz>	existentes?
Nov 11 20:43:29 <fcodiaz>	emonge, cuanto tiempo crees que sea necesario?
Nov 11 20:44:02 <fcodiaz>	solo que elsimio ya tiene varias tareas
Nov 11 20:44:09 <emonge>	al menos dos dias antes de la proxima reunion
Nov 11 20:44:10 <fcodiaz>	seria bueno que eso lo hiciera cmsamour 
Nov 11 20:44:28 <fcodiaz>	entonces emonge puedes presentarlo para el proximo jueves
Nov 11 20:44:30 <fcodiaz>	?
Nov 11 20:44:33 <emonge>	si
Nov 11 20:44:37 <fcodiaz>	hecho
Nov 11 20:45:08 <fcodiaz>	y yo voy a avisarle a cmsamour que el tiene que preparar el sql y colocar las relaciones de las tablas en el diseno existente
Nov 11 20:45:18 <fcodiaz>	se nos queda algo mas senores?
Nov 11 20:45:31 <fcodiaz>	algun tema que este en el aire que quieran agregar?
Nov 11 20:45:34 <jotamjr_>	una duda que me aqueja.
Nov 11 20:45:49 <fcodiaz>	dale
Nov 11 20:46:03 <jotamjr_>	alguien trabajaría en el tema del diseño grafico?
