**** BEGIN LOGGING AT Tue Nov 23 19:56:21 2010

Nov 23 20:28:08 <fcodiaz>	algo mas en este punto?
Nov 23 20:28:12 <fcodiaz>	elsimio, asi es 
Nov 23 20:28:22 <fcodiaz>	alguien quiere aportar algo mas, antes de pasar al punto 2?
Nov 23 20:28:42 <darkness51>	han contemplado python como lenguaje??
Nov 23 20:28:48 <fcodiaz>	darkness51, si
Nov 23 20:28:58 <fcodiaz>	por el momento tenemos Php, Perl, Python y Ruby
Nov 23 20:29:12 <darkness51>	fcodiaz: si se usa python, podriamos usar django
Nov 23 20:29:36 <fcodiaz>	los documentos de evaluacion estan en: https://github.com/fcodiaz/Solicont/tree/master/docs/
Nov 23 20:29:54 <fcodiaz>	asi es darkness51, ahi en el documento sobre Python se menciona Django, asi como tambien turbogears
Nov 23 20:30:06 <fcodiaz>	pero creo que la opcion en caso de python seria django
Nov 23 20:30:15 <fcodiaz>	alguien mas, sino pasamos al punto 2
Nov 23 20:30:26 <fcodiaz>	elsimio, tu turno
Nov 23 20:30:34 <elsimio>	ok
Nov 23 20:30:43 <fcodiaz>	elsimio discutira sobre los contenidos en The Open Application Group http://www.oagi.org/dnn2/, al parecer es un estandar de desarrollo de aplicaciones muy adoptado por companias en Estados Unidos y que desarrollan aplicaciones para el gobierno.
Nov 23 20:30:54 <fcodiaz>	adelante elsimio 
Nov 23 20:31:07 <elsimio>	platicando un dia con un amigo programador, muy buen programador en java, amigo de xtecuan
Nov 23 20:31:21 <elsimio>	le comentaba la iniciativa (frustrada) de solicont
Nov 23 20:31:51 <elsimio>	y me dijo que para q estar inventando cosas si ya existe webservices o cosas de las cuales podemos retomar mucho y tener una base
Nov 23 20:32:18 <elsimio>	el trabaja en una empresa donde programan, la cual es contratada por el gobierno de usa
Nov 23 20:32:40 <elsimio>	y aqui el gobierno igual q como en El Salvador hacen licitaciones, transacciones, etc
Nov 23 20:32:55 <elsimio>	aqui siguen un estandar, no se si en El Salvador, me refiero a la parte financiera-contable
Nov 23 20:33:28 <elsimio>	y si una empresa por mucho que haya ganado una licitacion no sigue ese estandar, me refiero a requisitos de software por gusto
Nov 23 20:33:34 <elsimio>	no puede hacer negocio con el gobierno de usa
Nov 23 20:33:42 <elsimio>	hay algo q se llama open application group
Nov 23 20:34:30 <elsimio>	el cual fue creado por empresas grandes de usa en establecer un estandar asi como el IEEE y de paso cumplir normas internacionales de contabilidad para tambien no dejar escapar los biz
Nov 23 20:35:04 <elsimio>	antes lo unico que cumplia eso ya "out of the box" era/es el SAP
Nov 23 20:35:11 <elsimio>	mucho ya lo conocen o han oido mencionar
Nov 23 20:35:17 <elsimio>	una inversion de $50K para arriba casi
Nov 23 20:35:55 <elsimio>	entonces empresas como ibm, oracle, openranger y otras adoptaron eso que hasta hicieron casi obligar a que sap tambien se adecue un poco al estandar exigido por el gobierno de usa
